Problem Name	jobs	mcs	T Value	R Value	Seed Value		LB	UB	CPU Seconds
cr_30_15_2_2_9	30	15	 0.6	 2.5	1923303867		1954	2813	786.97
cr_30_15_2_2_8	30	15	 0.6	 2.5	1205446551		2167	3119	710.00
cr_30_15_2_2_4	30	15	 0.6	 2.5	2092337079		2284	3270	752.45
cr_30_15_2_2_1	30	15	 0.6	 2.5	1480258997		2240	3200	629.87
cr_30_20_1_1_9	30	20	 0.3	 0.5	1003805374		1889	2969	1388.22
cr_30_20_1_1_5	30	20	 0.3	 0.5	1866818288		2038	3185	1592.67
cr_30_20_1_1_2	30	20	 0.3	 0.5	2073212729		1870	2904	1602.84
cr_30_20_1_1_6	30	20	 0.3	 0.5	2031843811		2131	3247	1566.98
cr_30_20_1_1_7	30	20	 0.3	 0.5	1195074732		2308	3457	1442.60
cr_30_20_1_2_4	30	20	 0.3	 2.5	1479767984		2333	3400	1673.41
cr_30_20_1_2_9	30	20	 0.3	 2.5	1300300459		2355	3325	1455.66
cr_30_20_1_2_1	30	20	 0.3	 2.5	1479634179		2575	3534	1442.87
cr_30_20_1_2_6	30	20	 0.3	 2.5	1998089523		2716	3689	1355.00
cr_30_20_1_2_2	30	20	 0.3	 2.5	268234358		2844	3794	1455.78
cr_30_20_2_1_2	30	20	 0.6	 0.5	1318901120		3113	4244	1417.22
cr_30_20_2_1_7	30	20	 0.6	 0.5	1937085188		3001	3956	1400.36
cr_30_20_2_1_5	30	20	 0.6	 0.5	2143145243		3162	4139	1356.28
cr_30_20_2_1_4	30	20	 0.6	 0.5	1293797673		3160	4115	1590.21
cr_30_20_2_1_8	30	20	 0.6	 0.5	119717490		3028	3923	1510.56
cr_30_20_2_2_10	30	20	 0.6	 2.5	899093639		2357	3736	1589.29
cr_30_20_2_2_7	30	20	 0.6	 2.5	625247357		2479	3785	1451.08
cr_30_20_2_2_3	30	20	 0.6	 2.5	1841092616		2495	3721	1412.99
cr_30_20_2_2_6	30	20	 0.6	 2.5	998525556		2700	3905	1648.72
cr_30_20_2_2_9	30	20	 0.6	 2.5	1149405842		2936	4221	1477.51
cr_40_15_1_1_9	40	15	 0.3	 0.5	44087254		1809	2682	2029.46
cr_40_15_1_1_2	40	15	 0.3	 0.5	1265661650		1697	2435	2223.71
cr_40_15_1_1_10	40	15	 0.3	 0.5	1585032351		1816	2549	1895.24
cr_40_15_1_1_1	40	15	 0.3	 0.5	596860525		2014	2826	1794.24
cr_40_15_1_1_5	40	15	 0.3	 0.5	1481467688		2084	2806	1548.93
cr_40_15_1_2_8	40	15	 0.3	 2.5	145250952		1521	2439	2020.88
cr_40_15_1_2_5	40	15	 0.3	 2.5	276026873		2331	2971	2543.98
cr_40_15_1_2_3	40	15	 0.3	 2.5	1504930476		1548	1970	2125.88
cr_40_15_1_2_10	40	15	 0.3	 2.5	248086807		2168	2697	1940.76
cr_40_15_1_2_9	40	15	 0.3	 2.5	474133254		2277	2830	2119.88
cr_40_15_2_1_8	40	15	 0.6	 0.5	48780788		3189	4130	1716.37
cr_40_15_2_1_4	40	15	 0.6	 0.5	922791273		3323	4215	2020.36
cr_40_15_2_1_10	40	15	 0.6	 0.5	338162312		3107	3888	2068.00
cr_40_15_2_1_9	40	15	 0.6	 0.5	207172174		3291	4117	3631.65
cr_40_15_2_1_3	40	15	 0.6	 0.5	825631900		3091	3834	1751.22
cr_40_15_2_2_2	40	15	 0.6	 2.5	1670360907		2170	3388	2228.56
cr_40_15_2_2_4	40	15	 0.6	 2.5	56649364		2256	3474	2226.43
cr_40_15_2_2_5	40	15	 0.6	 2.5	381451601		2150	3255	2351.33
cr_40_15_2_2_10	40	15	 0.6	 2.5	995774332		2143	3098	2870.63
cr_40_15_2_2_6	40	15	 0.6	 2.5	995292151		2218	3182	1611.23
cr_40_20_1_1_1	40	20	 0.3	 0.5	2060947458		2234	3679	4724.40
cr_40_20_1_1_8	40	20	 0.3	 0.5	146346108		2088	3432	5315.50
cr_40_20_1_1_7	40	20	 0.3	 0.5	822360405		2373	3780	4397.21
cr_40_20_1_1_2	40	20	 0.3	 0.5	276600208		2223	3529	3594.45
cr_40_20_1_1_5	40	20	 0.3	 0.5	1605922295		2312	3561	3979.49
cr_40_20_1_2_10	40	20	 0.3	 2.5	891217667		2205	3397	  0.43
cr_40_20_1_2_2	40	20	 0.3	 2.5	443963649		2998	4264	4419.32
cr_40_20_1_2_5	40	20	 0.3	 2.5	167757148		2301	3162	4241.76
cr_40_20_1_2_8	40	20	 0.3	 2.5	834116688		3032	4021	3929.05
cr_40_20_1_2_4	40	20	 0.3	 2.5	43471008		2732	3616	3696.10
cr_40_20_2_1_10	40	20	 0.6	 0.5	981641929		3398	4576	3924.46
cr_40_20_2_1_7	40	20	 0.6	 0.5	751341298		3796	5111	4448.57
cr_40_20_2_1_5	40	20	 0.6	 0.5	1988024151		3722	5000	3538.68
cr_40_20_2_1_3	40	20	 0.6	 0.5	2034813296		3592	4687	3501.62
cr_40_20_2_1_2	40	20	 0.6	 0.5	1981791618		3619	4652	6517.09
cr_40_20_2_2_5	40	20	 0.6	 2.5	195104352		2657	4160	3899.27
cr_40_20_2_2_2	40	20	 0.6	 2.5	1583800811		2607	4065	4102.04
cr_40_20_2_2_9	40	20	 0.6	 2.5	119746034		2907	4441	4037.93
cr_40_20_2_2_4	40	20	 0.6	 2.5	1238554339		2571	3913	5062.78
cr_40_20_2_2_3	40	20	 0.6	 2.5	899078478		3095	4559	8791.85
cr_50_15_1_1_5	50	15	 0.3	 0.5	1208801085		2352	3422	3633.64
cr_50_15_1_1_10	50	15	 0.3	 0.5	612480418		1952	2817	5574.37
cr_50_15_1_1_3	50	15	 0.3	 0.5	636463653		2149	3086	8165.53
cr_50_15_1_1_1	50	15	 0.3	 0.5	20805857		2010	2792	5600.71
cr_50_15_1_1_9	50	15	 0.3	 0.5	351435721		2186	3033	5007.07
cr_50_15_1_2_4	50	15	 0.3	 2.5	2017374782		1984	2661	5772.65
cr_50_15_1_2_10	50	15	 0.3	 2.5	1939773753		3094	3915	3653.18
cr_50_15_1_2_1	50	15	 0.3	 2.5	2092114126		2209	2716	4533.64
cr_50_15_1_2_5	50	15	 0.3	 2.5	133195147		2190	2663	4924.67
cr_50_15_1_2_2	50	15	 0.3	 2.5	1118649000		2355	2853	6593.06
cr_50_15_2_1_9	50	15	 0.6	 0.5	1799525253		4008	5005	5582.26
cr_50_15_2_1_10	50	15	 0.6	 0.5	1917246767		4212	5210	5594.79
cr_50_15_2_1_1	50	15	 0.6	 0.5	1894608315		3911	4770	4925.60
cr_50_15_2_1_6	50	15	 0.6	 0.5	395376823		3933	4771	5640.31
cr_50_15_2_1_8	50	15	 0.6	 0.5	1293590523		4284	5117	4995.04
cr_50_15_2_2_9	50	15	 0.6	 2.5	1508327309		2229	3378	4391.14
cr_50_15_2_2_6	50	15	 0.6	 2.5	651911449		2362	3574	5664.50
cr_50_15_2_2_10	50	15	 0.6	 2.5	989538628		2363	3503	5325.77
cr_50_15_2_2_1	50	15	 0.6	 2.5	157530410		2633	3859	5443.37
cr_50_15_2_2_2	50	15	 0.6	 2.5	1721395335		2256	3267	4205.39
cr_50_20_1_1_1	50	20	 0.3	 0.5	1981806069		2140	3471	10559.48
cr_50_20_1_1_7	50	20	 0.3	 0.5	470323021		2424	3721	10105.77
cr_50_20_1_1_5	50	20	 0.3	 0.5	302047288		2482	3574	10908.25
cr_50_20_1_1_3	50	20	 0.3	 0.5	1849088886		2802	4011	10298.20
cr_50_20_1_1_10	50	20	 0.3	 0.5	389603504		2417	3448	10766.43
cr_50_20_1_2_8	50	20	 0.3	 2.5	170896532		1993	3425	9647.06
cr_50_20_1_2_7	50	20	 0.3	 2.5	1774723696		2925	4359	  0.59
cr_50_20_1_2_5	50	20	 0.3	 2.5	1758557873		2787	3910	9637.26
cr_50_20_1_2_4	50	20	 0.3	 2.5	2119818001		2540	3462	11768.16
cr_50_20_1_2_2	50	20	 0.3	 2.5	1862829998		2931	3945	9464.52
cr_50_20_2_1_4	50	20	 0.6	 0.5	831798725		4028	5430	10890.79
cr_50_20_2_1_1	50	20	 0.6	 0.5	1161903753		4410	5769	11030.35
cr_50_20_2_1_3	50	20	 0.6	 0.5	676335856		4496	5762	11031.13
cr_50_20_2_1_7	50	20	 0.6	 0.5	1506319447		4149	5289	8427.51
cr_50_20_2_1_2	50	20	 0.6	 0.5	2094730076		4309	5456	9791.90
cr_50_20_2_2_5	50	20	 0.6	 2.5	1038643358		2980	4893	8325.85
cr_50_20_2_2_2	50	20	 0.6	 2.5	644401653		2732	4354	10624.65
cr_50_20_2_2_7	50	20	 0.6	 2.5	152936610		2628	4152	9045.09
cr_50_20_2_2_8	50	20	 0.6	 2.5	608850074		2726	4249	9774.45
cr_50_20_2_2_9	50	20	 0.6	 2.5	316198801		3166	4829	11030.49
